ID|Municipio|UF|Latitude|Longitude
225|IBIRA|SP|-21.0800|-49.2410
226|IBIRAREMA|SP|-22.8180|-50.0730
227|IBITINGA|SP|-21.7580|-48.8290
228|IBIUNA|SP|-23.6560|-47.2230
229|ICEM|SP|-20.3420|-49.1950
230|IEPE|SP|-22.6610|-51.0760
231|IGARACU DO TIETE|SP|-22.5090|-48.5580
232|IGARAPAVA|SP|-20.0380|-47.7470
233|IGARATA|SP|-23.2040|-46.1560
234|IGUAPE|SP|-24.7080|-47.5550
235|ILHA COMPRIDA|SP|-24.7410|-47.5400
236|ILHA SOLTEIRA|SP|-20.4330|-51.3430
237|ILHABELA|SP|-23.7780|-45.3580
238|INDAIATUBA|SP|-23.0900|-47.2180
239|INDIANA|SP|-22.1740|-51.2520
240|INDIAPORA|SP|-19.9800|-50.2900
241|INUBIA PAULISTA|SP|-21.7700|-50.9620
242|IPAUSSU|SP|-23.0570|-49.6260
243|IPERO|SP|-23.3500|-47.6890
244|IPEUNA|SP|-22.4360|-47.7190
245|IPIGUA|SP|-20.6570|-49.3870
246|IPORANGA|SP|-24.5860|-48.5930
247|IPUA|SP|-20.4380|-48.0120
248|IRACEMAPOLIS|SP|-22.5810|-47.5190
249|IRAPUA|SP|-21.2790|-49.4090
250|IRAPURU|SP|-21.5710|-51.3450
251|ITABERA|SP|-23.8620|-49.1370
252|ITAI|SP|-23.4180|-49.0910
253|ITAJOBI|SP|-21.3180|-49.0540
254|ITAJU|SP|-21.9810|-48.8050
255|ITANHAEM|SP|-24.1830|-46.7890
256|ITAOCA|SP|-24.6400|-48.8430
257|ITAPECERICA DA SERRA|SP|-23.7170|-46.8490
258|ITAPETININGA|SP|-23.5920|-48.0530
259|ITAPEVA|SP|-23.9820|-48.8760
260|ITAPEVI|SP|-23.5490|-46.9340
261|ITAPIRA|SP|-22.4360|-46.8220
262|ITAPIRAPUA PAULISTA|SP|-24.5740|-49.1680
263|ITAPOLIS|SP|-21.5960|-48.8130
264|ITAPORANGA|SP|-23.7080|-49.4900
265|ITAPUI|SP|-22.2330|-48.7190
266|ITAPURA|SP|-20.6460|-51.5090
267|ITAQUAQUECETUBA|SP|-23.4860|-46.3480
268|ITARARE|SP|-24.1150|-49.3410
269|ITARIRI|SP|-24.2890|-47.1740
270|ITATIBA|SP|-23.0060|-46.8390
271|ITATINGA|SP|-23.1020|-48.6160
272|ITIRAPINA|SP|-22.2530|-47.8230
273|ITIRAPUA|SP|-20.6410|-47.2190
274|ITOBI|SP|-21.7370|-46.9750
275|ITU|SP|-23.2640|-47.2990
276|ITUPEVA|SP|-23.1530|-47.0580
277|ITUVERAVA|SP|-20.3390|-47.7810
278|JABORANDI|SP|-20.6880|-48.4130
279|JABOTICABAL|SP|-21.2550|-48.3220
280|JACAREI|SP|-23.3050|-45.9660
281|JACI|SP|-20.8820|-49.5700
282|JACUPIRANGA|SP|-24.6930|-48.0020
283|JAGUARIUNA|SP|-22.7060|-46.9860
284|JALES|SP|-20.2690|-50.5460
285|JAMBEIRO|SP|-23.2540|-45.6880
286|JANDIRA|SP|-23.5280|-46.9030
287|JARDINOPOLIS|SP|-21.0180|-47.7640
288|JARINU|SP|-23.1010|-46.7280
289|JAU|SP|-22.2960|-48.5580
290|JERIQUARA|SP|-20.3110|-47.5890
291|JOANOPOLIS|SP|-22.9300|-46.2760
292|JOAO RAMALHO|SP|-22.2500|-50.7680
293|JOSE BONIFACIO|SP|-21.0530|-49.6880
294|JULIO MESQUITA|SP|-22.0090|-49.7870
295|JUMIRIM|SP|-23.0870|-47.7840
296|JUNDIAI|SP|-23.1860|-46.8840
297|JUNQUEIROPOLIS|SP|-21.5150|-51.4340
298|JUQUIA|SP|-24.3210|-47.6350
299|JUQUITIBA|SP|-23.9320|-47.0680
300|LAGOINHA|SP|-23.0910|-45.1900
301|LARANJAL PAULISTA|SP|-23.0500|-47.8370
302|LAVINIA|SP|-21.1680|-51.0400
303|LAVRINHAS|SP|-22.5710|-44.9020
304|LEME|SP|-22.1860|-47.3900
305|LENCOIS PAULISTA|SP|-22.5990|-48.8000
306|LIMEIRA|SP|-22.5650|-47.4020
307|LINDOIA|SP|-22.5230|-46.6500
308|LINS|SP|-21.6790|-49.7430
309|LORENA|SP|-22.7310|-45.1250
310|LOURDES|SP|-20.9670|-50.2240
311|LOUVEIRA|SP|-23.0860|-46.9510
312|LUCELIA|SP|-21.7200|-51.0190
313|LUCIANOPOLIS|SP|-22.4310|-49.5230
314|LUIS ANTONIO|SP|-21.5550|-47.7040
315|LUIZIANIA|SP|-21.6760|-50.3270
316|LUPERCIO|SP|-22.4150|-49.8170
317|LUTECIA|SP|-22.3400|-50.3920
318|MACATUBA|SP|-22.5020|-48.7110
319|MACAUBAL|SP|-20.8060|-49.9640
320|MACEDONIA|SP|-20.1460|-50.1940
321|MAGDA|SP|-20.6440|-50.2260
322|MAIRINQUE|SP|-23.5460|-47.1830
323|MAIRIPORA|SP|-23.3190|-46.5870
324|MANDURI|SP|-23.0030|-49.3220
325|MARABA PAULISTA|SP|-22.1080|-51.9630
326|MARACAI|SP|-22.6110|-50.6670
327|MARAPOAMA|SP|-21.2590|-49.1290
328|MARIAPOLIS|SP|-21.7990|-51.1810
329|MARILIA|SP|-22.2140|-49.9460
330|MARINOPOLIS|SP|-20.4410|-50.8230
331|MARTINOPOLIS|SP|-22.1460|-51.1710
332|MATAO|SP|-21.6030|-48.3660
333|MAUA|SP|-23.6680|-46.4610
334|MENDONCA|SP|-21.1670|-49.5810
335|MERIDIANO|SP|-20.3590|-50.1730
336|MESOPOLIS|SP|-19.9660|-50.6380
337|MIGUELOPOLIS|SP|-20.1790|-48.0320
338|MINEIROS DO TIETE|SP|-22.4090|-48.4510
339|MIRA ESTRELA|SP|-19.9790|-50.1370
340|MIRACATU|SP|-24.2810|-47.4600
341|MIRANDOPOLIS|SP|-21.1340|-51.1020
342|MIRANTE DO PARANAPANEMA|SP|-22.2920|-51.9060
