ID|IBGE_7|IBGE_6|Municipio_real|UF|Latitude|Longitude|Municipio_ficticio
291|3525706|352570|JOSE BONIFACIO|SP|-21.053|-49.688|ITASIKI
292|3525805|352580|JULIO MESQUITA|SP|-22.009|-49.787|IUPPEN
293|3525854|352585|JUMIRIM|SP|-23.087|-47.784|IWAKAMI
294|3525904|352590|JUNDIAI|SP|-23.186|-46.884|IWASSAKI
295|3526001|352600|JUNQUEIROPOLIS|SP|-21.515|-51.434|IZAGUIRRE
296|3526100|352610|JUQUIA|SP|-24.321|-47.635|JACHETTA
297|3526209|352620|JUQUITIBA|SP|-23.932|-47.068|JACOVAS
298|3526308|352630|LAGOINHA|SP|-23.091|-45.19|JAMUR
299|3526407|352640|LARANJAL PAULISTA|SP|-23.05|-47.837|JARENTCHUK
300|3526506|352650|LAVINIA|SP|-21.168|-51.04|JENICHEN
301|3526605|352660|LAVRINHAS|SP|-22.571|-44.902|JESSOURUN
302|3526704|352670|LEME|SP|-22.186|-47.39|JESUE
303|3526803|352680|LENCOIS PAULISTA|SP|-22.599|-48.8|JESUINO
304|3526902|352690|LIMEIRA|SP|-22.565|-47.402|JOLANDEK
305|3527009|352700|LINDOIA|SP|-22.523|-46.65|JONATAS
306|3527108|352710|LINS|SP|-21.679|-49.743|JUVANHOL
307|3527207|352720|LORENA|SP|-22.731|-45.125|KANDELMAN
308|3527256|352725|LOURDES|SP|-20.967|-50.224|KASTROPIL
309|3527306|352730|LOUVEIRA|SP|-23.086|-46.951|KEBUDI
310|3527405|352740|LUCELIA|SP|-21.72|-51.019|KEFFER
311|3527504|352750|LUCIANOPOLIS|SP|-22.431|-49.523|KIENOLT
312|3527603|352760|LUIS ANTONIO|SP|-21.555|-47.704|KINDZIERSKI
313|3527702|352770|LUIZIANIA|SP|-21.676|-50.327|KIRSTEN
314|3527801|352780|LUPERCIO|SP|-22.415|-49.817|KITNER
315|3527900|352790|LUTECIA|SP|-22.34|-50.392|KLOSER
316|3528007|352800|MACATUBA|SP|-22.502|-48.711|KNAB
317|3528106|352810|MACAUBAL|SP|-20.806|-49.964|KNOLL
318|3528205|352820|MACEDONIA|SP|-20.146|-50.194|KNOPKI
319|3528304|352830|MAGDA|SP|-20.644|-50.226|KOFFES
320|3528403|352840|MAIRINQUE|SP|-23.546|-47.183|KOLESNE
321|3528502|352850|MAIRIPORA|SP|-23.319|-46.587|KOOP
322|3528601|352860|MANDURI|SP|-23.003|-49.322|KOPIK
323|3528700|352870|MARABA PAULISTA|SP|-22.108|-51.963|KOPILER
324|3528809|352880|MARACAI|SP|-22.611|-50.667|KOTTLER
325|3528858|352885|MARAPOAMA|SP|-21.259|-49.129|KOVALIK
326|3528908|352890|MARIAPOLIS|SP|-21.799|-51.181|KRASZCZUK
327|3529005|352900|MARILIA|SP|-22.214|-49.946|KREFTA
328|3529104|352910|MARINOPOLIS|SP|-20.441|-50.823|KREPSKI
329|3529203|352920|MARTINOPOLIS|SP|-22.146|-51.171|KUBIK
330|3529302|352930|MATAO|SP|-21.603|-48.366|KUCHLER
331|3529401|352940|MAUA|SP|-23.668|-46.461|KUMODE
332|3529500|352950|MENDONCA|SP|-21.167|-49.581|KUPAS
333|3529609|352960|MERIDIANO|SP|-20.359|-50.173|LACUESTA
334|3529658|352965|MESOPOLIS|SP|-19.966|-50.638|LAMBERTINI
335|3529708|352970|MIGUELOPOLIS|SP|-20.179|-48.032|LAMBIASE
336|3529807|352980|MINEIROS DO TIETE|SP|-22.409|-48.451|LAMBRANHO
337|3529906|352990|MIRACATU|SP|-24.281|-47.46|LAMBRECHT
338|3530003|353000|MIRA ESTRELA|SP|-19.979|-50.137|LANGENDORF
339|3530102|353010|MIRANDOPOLIS|SP|-21.134|-51.102|LANIADO
340|3530201|353020|MIRANTE DO PARANAPANEMA|SP|-22.292|-51.906|LAPAS
341|3530300|353030|MIRASSOL|SP|-20.819|-49.521|LASCHEWITZ
342|3530409|353040|MIRASSOLANDIA|SP|-20.617|-49.464|LAUSE
343|3530508|353050|MOCOCA|SP|-21.468|-47.005|LAVAQUIAL
344|3530607|353060|MOGI DAS CRUZES|SP|-23.523|-46.188|LAVARIAS
345|3530706|353070|MOGI GUACU|SP|-22.372|-46.942|LAZARINE
346|3530805|353080|MOJI MIRIM|SP|-22.432|-46.958|LEDEBUHR
347|3530904|353090|MOMBUCA|SP|-22.929|-47.566|LEFFA
348|3531001|353100|MONCOES|SP|-20.85|-50.092|LEUTPRECHT
349|3531100|353110|MONGAGUA|SP|-24.087|-46.629|LEVANTEZE
350|3531209|353120|MONTE ALEGRE DO SUL|SP|-22.682|-46.681|LIENSTADT
351|3531308|353130|MONTE ALTO|SP|-21.261|-48.496|LIMBERGER
352|3531407|353140|MONTE APRAZIVEL|SP|-20.773|-49.714|LISCHKA
353|3531506|353150|MONTE AZUL PAULISTA|SP|-20.907|-48.641|LOGE
354|3531605|353160|MONTE CASTELO|SP|-21.299|-51.569|LOTTO
355|3531704|353170|MONTEIRO LOBATO|SP|-22.957|-45.84|LOZER
356|3531803|353180|MONTE MOR|SP|-22.947|-47.316|LUBAWSKI
357|3531902|353190|MORRO AGUDO|SP|-20.731|-48.058|LUCINARO
358|3532009|353200|MORUNGABA|SP|-22.88|-46.792|LUKIN
359|3532058|353205|MOTUCA|SP|-21.508|-48.151|LUND
360|3532108|353210|MURUTINGA DO SUL|SP|-20.993|-51.278|MADALHANO
361|3532157|353215|NANTES|SP|-22.621|-51.237|MADOGLIO
